subject_id,confidence,accuracy,number_models_generated,number_of_tasks,number_of_human_trials
63873,99.3281,54.6875,2.5833,4,64
63884,68.0312,54.6875,2.6666,4,64
63885,92.6875,48.4375,3.1667,4,64
63954,51.25,76.5625,3.1667,4,64
63969,88.5625,50.0,2.0833,4,64
63977,91.1719,64.0625,2.0833,4,64
63978,91.1875,46.875,2.0833,4,64
64012,72.5625,92.1875,3.1667,4,64
64037,67.7344,68.75,2.0833,4,64
64038,69.625,56.25,2.0833,4,64
64039,70.8281,53.125,2.0833,4,64
64065,50.7969,60.9375,3.1667,4,64
64066,86.6719,60.9375,2.6666,4,64
64105,59.9844,53.125,2.6666,4,64
64116,70.4688,73.4375,3.1667,4,64
64123,71.4531,62.5,2.0833,4,64
64159,64.0156,78.125,3.1667,4,64
64189,65.7188,89.0625,3.1667,4,64
64222,59.375,93.75,3.1667,4,64
64258,49.7812,64.0625,3.3333,4,64
64270,62.4844,90.625,3.1667,4,64
64312,67.5469,51.5625,2.5833,4,64
64363,98.2344,51.5625,2.0833,4,64
64369,97.8281,50.0,3.1667,4,64
64386,58.0938,64.0625,3.1667,4,64
64388,61.4531,51.5625,3.1667,4,64
64392,50.3281,59.375,2.0833,4,64
64438,68.9062,62.5,3.1667,4,64
64450,88.4844,48.4375,2.5833,4,64
64615,92.3438,51.5625,2.5833,4,64
64652,86.7812,96.875,3.1667,4,64
64685,79.5469,71.875,3.6667,4,64
64695,62.7344,53.125,3.3333,4,64
64707,92.4219,46.875,2.0833,4,64
64708,99.5781,96.875,3.1667,4,64
64776,74.6875,56.25,2.0833,4,64
64793,89.1094,53.125,2.0833,4,64
64806,97.8281,50.0,3.1667,4,64
64843,94.5,51.5625,2.6666,4,64
64869,66.7031,51.5625,2.0833,4,64
64871,61.9062,53.125,2.6666,4,64
64882,79.3594,43.75,2.0833,4,64
64888,85.125,90.625,3.1667,4,64
64890,63.2031,53.125,2.6666,4,64
64919,71.0469,79.6875,3.1667,4,64
64923,77.0781,53.125,2.6666,4,64
64926,71.4688,54.6875,2.5833,4,64
64939,62.8438,50.0,2.0833,4,64
64947,66.375,46.875,2.5833,4,64
64973,67.4219,51.5625,2.5833,4,64
64976,59.4219,50.0,2.0833,4,64
65018,34.5312,59.375,2.6666,4,64
65021,85.0,60.9375,3.1667,4,64
65028,56.0312,78.125,3.1667,4,64
65048,74.875,53.125,2.0833,4,64
65063,98.0312,59.375,2.5833,4,64
65065,67.125,76.5625,3.1667,4,64
65071,71.2656,53.125,2.0833,4,64
65079,55.6562,71.875,3.3333,4,64
65080,84.9844,53.125,3.1667,4,64
65088,90.3281,46.875,2.5833,4,64
65112,78.0469,48.4375,3.1667,4,64
65163,75.2656,54.6875,2.5833,4,64
65222,59.2812,50.0,2.0833,4,64
65278,85.3438,53.125,3.1667,4,64
65305,84.8125,60.9375,2.0833,4,64
65322,76.3906,81.25,3.1667,4,64
65323,67.6094,54.6875,2.0833,4,64
65466,100.0,50.0,2.0833,4,64
65502,67.5,76.5625,3.1667,4,64
65554,93.75,56.25,3.1667,4,64
65585,70.4688,56.25,3.1667,4,64
65909,60.4844,59.375,2.0833,4,64
65973,61.2188,98.4375,3.1667,4,64
65995,89.8594,48.4375,2.0833,4,64
66020,72.875,51.5625,2.0833,4,64
66022,53.3438,56.25,2.0833,4,64
66036,95.6406,48.4375,2.6666,4,64
66050,61.4375,59.375,2.0833,4,64
66057,75.1875,82.8125,3.1667,4,64
66073,87.4375,64.0625,2.0833,4,64
66085,85.8125,84.375,3.1667,4,64
66087,64.0781,51.5625,3.1667,4,64
66089,62.7812,85.9375,3.1667,4,64
66121,70.9219,79.6875,3.1667,4,64
66151,62.7969,87.5,3.1667,4,64
66157,41.0156,65.625,3.6667,4,64
66201,68.25,50.0,2.6666,4,64
66206,79.4531,56.25,3.1667,4,64
66275,78.4688,53.125,2.0833,4,64
66305,95.2812,53.125,2.0833,4,64
66312,64.7188,82.8125,3.1667,4,64
66314,53.9375,54.6875,2.6666,4,64
66373,76.5156,51.5625,2.6666,4,64
66420,69.8438,51.5625,2.5833,4,64
66520,98.125,92.1875,3.1667,4,64
67013,75.2656,68.75,2.6666,4,64
67024,92.4844,53.125,2.5833,4,64
67026,79.6719,48.4375,2.5833,4,64
67038,74.3906,56.25,3.1667,4,64
67058,99.5625,56.25,3.1667,4,64
67100,81.4375,50.0,2.5833,4,64
67105,71.0469,71.875,3.1667,4,64
67144,86.2812,68.75,2.6666,4,64
67179,73.7188,59.375,2.6666,4,64
67180,65.6875,53.125,3.1667,4,64
67186,83.5156,53.125,2.0833,4,64
67194,47.2812,65.625,2.6666,4,64
67212,96.8906,51.5625,2.0833,4,64
67245,74.4844,60.9375,2.6666,4,64
67311,91.0781,87.5,3.1667,4,64
67323,64.4531,51.5625,2.0833,4,64
67339,65.0,56.25,2.0833,4,64
67424,100.0,96.875,3.1667,4,64
67454,71.3438,59.375,2.0833,4,64
68007,92.2031,53.125,3.1667,4,64
68016,64.1406,40.625,2.0833,4,64
68027,78.75,48.4375,2.6666,4,64
68051,63.1562,82.8125,3.1667,4,64
68124,95.7969,73.4375,2.6666,4,64
68138,78.7188,54.6875,2.6666,4,64
68193,67.7188,73.4375,3.1667,4,64
68200,85.8438,50.0,2.6666,4,64
68255,68.4844,54.6875,2.0833,4,64
68293,80.0,57.8125,2.5833,4,64
68411,94.9062,92.1875,3.1667,4,64
68426,69.5,50.0,2.5833,4,64
68542,69.9844,75.0,3.1667,4,64
68549,66.5469,81.25,3.1667,4,64
68786,71.3125,76.5625,3.1667,4,64
68800,96.5,64.0625,2.0833,4,64
68832,76.7031,78.125,3.1667,4,64
68850,97.7031,67.1875,3.1667,4,64
68881,96.9688,51.5625,2.5833,4,64
68882,82.9219,68.75,3.1667,4,64
68896,81.75,65.625,3.1667,4,64
68906,63.0312,45.3125,2.0833,4,64
68939,94.2188,50.0,2.6666,4,64
68987,94.8906,81.25,3.1667,4,64
69019,65.1562,64.0625,3.3333,4,64
69283,86.625,56.25,2.0833,4,64
